Date,Open,High,Low,Close,Volume,Adj Close
2014-03-06,85.94,87.54,84.54,86.09,54100,86.09
2014-03-05,83.79,85.87,82.51,85.46,74700,85.46
2014-03-04,80.26,84.89,79.79,84.34,242200,84.34
2014-03-03,76.77,80.57,76.02,79.96,131500,79.96
2014-02-28,75.72,76.52,75.57,75.64,20200,75.64
2014-02-27,74.96,75.81,74.83,75.56,12400,75.56
2014-02-26,74.88,75.99,74.67,75.00,12400,75.00
2014-02-25,75.98,75.98,74.64,75.17,10100,75.17
2014-02-24,74.74,75.93,74.70,75.66,31800,75.66
2014-02-21,73.50,75.00,72.97,74.65,22500,74.65
2014-02-20,72.03,73.72,72.03,73.51,10900,73.51
2014-02-19,72.67,72.94,71.97,72.43,25100,72.43
2014-02-18,72.85,73.44,71.51,73.13,27100,73.13
2014-02-14,72.01,73.10,71.70,72.27,25400,72.27
2014-02-13,69.44,72.45,69.44,71.94,27800,71.94
2014-02-12,69.40,70.10,68.91,69.39,24600,69.39
2014-02-11,69.08,69.72,68.70,69.47,23200,69.47
2014-02-10,68.39,69.18,67.98,68.73,30100,68.73
2014-02-07,67.32,68.46,67.32,67.94,30900,67.94
2014-02-06,66.25,67.37,66.01,66.86,36300,66.86
2014-02-05,66.15,66.71,65.74,66.53,33400,66.53
2014-02-04,66.31,66.90,66.07,66.15,24500,66.15
2014-02-03,68.28,68.75,66.00,66.10,33800,66.10
2014-01-31,67.94,69.15,67.94,68.28,23300,68.28
2014-01-30,68.41,69.82,67.94,68.68,26500,68.68
2014-01-29,68.26,68.80,68.00,68.35,22500,68.35
2014-01-28,69.73,69.73,68.13,68.89,28000,68.64
2014-01-27,70.30,70.51,68.09,69.46,36100,69.21
2014-01-24,71.50,71.68,70.12,70.31,24500,70.05
2014-01-23,72.07,72.55,71.50,71.90,10500,71.64
2014-01-22,72.12,72.17,71.67,72.13,27300,71.87
2014-01-21,72.94,73.49,72.00,72.10,24300,71.84
2014-01-17,73.31,73.31,72.10,72.30,13900,72.04
2014-01-16,72.63,73.00,72.02,72.85,30500,72.59
2014-01-15,71.59,73.00,71.13,72.98,27100,72.72
2014-01-14,71.98,72.18,71.17,71.64,20500,71.38
2014-01-13,72.41,72.86,71.04,71.68,34300,71.42
